# Server version 0.08 running on 192.168.2.17:8123
# Game ID: 465
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Fri Apr 11 04:21:58 GMT-04:00 2014
# Player 1: Player-0, 'random', running on 192.168.2.17
# Player 2: Player-1, '260449697', running on 192.168.2.17
# Player 3: Player-2, 'random', running on 192.168.2.17
# Player 4: Player-3, '260449697', running on 192.168.2.17
START Player-0 random
START Player-1 260449697
START Player-2 random
START Player-3 260449697
1 (11,6) (10,7)
2 (3,10) (2,10)
3 (3,0) (1,0)
3 null null
0 (0,3) (2,3)
0 null null
1 (10,7) (8,9)
1 (8,9) (6,11)
1 (6,11) (4,9)
1 (4,9) (2,7)
1 (2,7) (4,7)
1 (4,7) (2,9)
1 (2,9) (2,11)
1 (2,11) (4,13)
1 (4,13) (2,13)
1 null null
2 (3,12) (4,13)
3 (7,4) (5,2)
3 (5,2) (3,0)
3 null null
0 (1,3) (3,3)
0 null null
1 (5,7) (4,8)
2 (4,11) (3,11)
3 (6,9) (4,11)
3 (4,11) (2,11)
3 (2,11) (2,9)
3 (2,9) (4,7)
3 (4,7) (4,9)
3 (4,9) (2,7)
3 (2,7) (0,5)
3 null null
0 (3,4) (3,5)
1 (3,8) (2,9)
2 (6,12) (6,13)
3 (3,7) (2,6)
0 (1,6) (2,7)
1 (2,9) (2,11)
1 null null
2 (3,11) (4,12)
3 (13,10) (12,9)
0 (4,4) (5,4)
1 (2,11) (1,12)
2 (3,15) (5,15)
2 null null
3 (2,4) (1,3)
0 (2,7) (3,7)
1 (9,8) (8,9)
2 (5,15) (5,14)
3 (2,6) (4,4)
3 (4,4) (6,4)
3 (6,4) (4,6)
3 (4,6) (2,4)
3 (2,4) (4,2)
3 null null
0 (3,3) (2,4)
1 (8,9) (6,11)
1 (6,11) (4,9)
1 null null
2 (5,10) (3,8)
2 (3,8) (5,8)
2 (5,8) (3,10)
2 (3,10) (1,10)
2 null null
3 (8,12) (7,11)
0 (2,3) (3,3)
1 (4,9) (3,10)
2 (2,10) (3,11)
3 (11,11) (10,10)
0 (4,1) (3,1)
1 (3,10) (3,12)
1 (3,12) (5,12)
1 (5,12) (3,14)
1 null null
2 (4,12) (4,11)
3 (7,11) (7,9)
3 null null
0 (3,3) (4,4)
1 (7,7) (6,8)
2 (4,11) (2,11)
2 null null
3 (7,9) (5,7)
3 null null
0 (3,1) (3,3)
0 null null
1 (6,8) (4,6)
1 (4,6) (2,8)
1 null null
2 (1,15) (3,15)
2 (3,15) (5,15)
2 null null
3 (5,7) (3,9)
3 (3,9) (1,7)
3 null null
0 (5,4) (4,5)
1 (3,13) (3,15)
1 (3,15) (1,15)
1 null null
2 (2,11) (2,10)
3 (1,7) (0,6)
0 (6,3) (7,4)
1 (2,8) (1,9)
2 (1,10) (0,9)
3 (0,6) (0,4)
3 null null
0 (4,4) (4,6)
0 (4,6) (2,8)
0 (2,8) (0,10)
0 null null
1 (4,8) (3,9)
2 (2,10) (1,10)
3 (0,5) (0,3)
3 null null
0 (3,5) (3,6)
1 (1,9) (1,11)
1 null null
2 (4,13) (6,15)
2 null null
3 (10,10) (9,9)
0 (5,5) (5,6)
1 (3,9) (2,10)
2 (6,13) (7,12)
3 (9,9) (8,8)
0 (3,6) (3,5)
1 (7,10) (6,11)
2 (3,11) (3,12)
3 (8,8) (7,7)
0 (7,4) (6,4)
1 (1,11) (1,9)
1 (1,9) (3,11)
1 (3,11) (3,13)
1 (3,13) (3,15)
1 null null
2 (5,15) (6,14)
3 (7,7) (6,6)
0 (2,4) (1,4)
1 (6,11) (5,12)
2 (5,14) (4,14)
3 (6,6) (4,6)
3 (4,6) (2,4)
3 null null
0 (5,6) (6,5)
1 (5,12) (4,13)
2 (6,14) (7,14)
3 (12,9) (11,8)
0 (3,7) (4,6)
1 (2,10) (1,11)
2 (7,14) (7,15)
