# Server version 0.08 running on 142.157.168.42:8123
# Game ID: 31
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 02 20:26:48 GMT-04:00 2014
# Player 1: Player-0, '260449697', running on 142.157.168.42
# Player 2: Player-1, 'random', running on 142.157.168.42
# Player 3: Player-2, 'random', running on 142.157.168.42
# Player 4: Player-3, 'random', running on 142.157.168.42
START Player-0 260449697
START Player-1 random
START Player-2 random
START Player-3 random
3 (12,15) (12,13)
3 (12,13) (12,15)
3 null null
0 (15,14) (14,15)
1 (10,1) (11,2)
2 (2,12) (3,13)
3 (15,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (13,10)
3 (13,10) (15,12)
3 null null
0 (14,15) (15,15)
1 (12,3) (12,4)
2 (2,15) (3,15)
3 (15,9) (15,8)
0 (15,15) (15,14)
1 (11,1) (11,3)
1 (11,3) (11,1)
1 null null
2 (3,13) (4,14)
3 (7,15) (8,14)
0 (15,14) (14,15)
1 (15,4) (13,6)
1 null null
2 (4,14) (4,15)
3 (15,7) (15,6)
0 (14,15) (15,15)
1 (15,2) (15,1)
2 (4,13) (4,12)
3 (15,6) (13,8)
3 null null
0 (15,15) (15,14)
1 (13,1) (14,0)
2 (5,14) (6,14)
3 (8,14) (7,15)
0 (15,14) (14,15)
1 (12,4) (11,3)
2 (6,12) (6,11)
3 (15,8) (15,9)
0 (14,15) (15,15)
1 (15,0) (14,1)
2 (3,15) (2,15)
3 (15,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (15,14)
3 (15,14) (15,12)
3 (15,12) (15,14)
3 (15,14) (15,12)
3 null null
0 (15,15) (15,14)
1 (13,6) (12,5)
2 (6,11) (7,10)
3 (14,11) (13,12)
0 (15,14) (14,15)
1 (14,2) (15,2)
2 (6,14) (7,14)
3 (15,12) (15,14)
3 null null
0 (14,15) (15,15)
1 (14,1) (13,2)
2 (6,13) (6,14)
3 (12,14) (13,13)
0 (15,15) (14,15)
1 (14,5) (15,4)
2 (2,14) (2,12)
2 (2,12) (2,14)
2 (2,14) (2,12)
2 null null
3 (11,15) (11,14)
0 (14,15) (15,15)
1 (11,2) (10,2)
2 (4,15) (5,15)
3 (11,14) (12,13)
0 (15,15) (14,15)
1 (11,3) (10,4)
2 (0,11) (1,12)
3 (13,8) (14,8)
0 (14,15) (15,15)
1 (14,0) (13,1)
2 (4,11) (3,10)
3 (13,14) (14,15)
0 (15,15) (13,15)
0 null null
1 (15,5) (15,6)
2 (1,9) (2,8)
3 (10,13) (11,12)
0 (13,15) (15,15)
0 null null
1 (12,2) (12,1)
2 (1,12) (1,11)
3 (13,12) (11,14)
3 (11,14) (13,12)
3 (13,12) (13,14)
3 (13,14) (15,12)
3 null null
0 (15,15) (13,15)
0 null null
1 (15,6) (14,5)
2 (4,12) (3,12)
3 (14,8) (13,7)
0 (13,15) (15,15)
